#ID	A323-01	A323-02	A323-03	A323-04	A323-05	A323-06	A323-07	A323-08	A323-11	A323-12	A323-15	A323-16	A323-17	A323-18	A323-19	A323-22	A323-24	A323-28	A323-29	A323-34	A323-35	A323-37	A323-38	A323-39	A323-40	A323-41	A323-42	A323-43	A323-44	A323-45	A323-46	A323-47	A323-48	A323-49	A323-50
hsa-miR-4538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68779633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-454-3p	522.7285621	511.7142427	633.0495525	416.6347814	417.6338862	398.8418814	284.8120517	320.6142294	380.8434129	742.1529244	384.8615714	475.6841457	410.0102353	360.5084176	387.0256492	511.5413883	545.6226549	518.1688854	486.1054849	626.2379283	561.938346	567.3128518	496.7281832	359.3467729	464.4322316	487.3177071	646.8137952	542.0585162	250.8135362	620.6682528	427.6324964	628.4795017	670.5439617	675.3590429	607.4482501
hsa-miR-454-5p	4.052159396	16.72268767	3.118470702	17.00550128	0	0	0	0	4.903563256	0	0	11.65892514	0	0	11.72804998	0	5.375592659	14.13187869	0	7.758699997	0	21.27423194	10.13730986	0	4.837835746	12.03253598	0	13.06165099	0	0	0	0	6.842285323	0	14.22119649
hsa-miR-455-3p	0	0	0	0	0	0	8.295496651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-455-5p	0	0	0	5.668500427	0	22.1578823	2.76516555	4.218608281	1.634521085	0	0	13.99071017	0	10.07006753	0	0	5.375592659	0	10.1271976	0	4.550108065	2.363803549	0	6.533577689	0	0	3.69607883	0	0	0	9.296358616	0	6.842285323	0	12.18959699
hsa-miR-4632-3p	0	3.344537534	6.236941404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.550108065	0	5.068654931	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4632-5p	0	0	3.118470702	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68779633	0	0	1.108385714	0	0	0	0	0	0	0	0	0	0	4.648179308	0	0	0	0
hsa-miR-4639-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.216771428	0	0	0	0	0	12.03253598	0	0	0	0	0	0	0	0	0
hsa-miR-4642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69607883	0	0	0	0	0	0	0	0
hsa-miR-4643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
